date,secousse,magnitude,tension entre plaque
2024-01-01 00:00:00,False,0.0,0.0
2024-01-01 00:01:00,False,0.0,1.01
2024-01-01 00:02:00,False,0.0,1.02
2024-01-01 00:03:00,False,0.0,1.03
2024-01-01 00:04:00,False,0.0,1.04
2024-01-01 00:05:00,False,0.0,1.05
2024-01-01 00:06:00,False,0.0,1.06
2024-01-01 00:07:00,False,0.0,1.07
2024-01-01 00:08:00,False,0.0,1.08
2024-01-01 00:09:00,False,0.0,1.09
2024-01-01 00:10:00,False,0.0,1.1
2024-01-01 00:11:00,False,0.0,1.11
2024-01-01 00:12:00,True,0.5673874361066279,1.12
2024-01-01 00:13:00,False,0.0,1.01
2024-01-01 00:14:00,False,0.0,1.02
2024-01-01 00:15:00,False,0.0,1.03
2024-01-01 00:16:00,True,0.4571434850533619,1.04
2024-01-01 00:17:00,True,6.164888731420088,1.01
2024-01-01 00:18:00,False,0.0,1.02
2024-01-01 00:19:00,False,0.0,1.03
2024-01-01 00:20:00,False,0.0,1.04
2024-01-01 00:21:00,True,4.5177180106448525,1.05
2024-01-01 00:22:00,False,0.0,1.06
2024-01-01 00:23:00,False,0.0,1.07
2024-01-01 00:24:00,False,0.0,1.08
2024-01-01 00:25:00,False,0.0,1.09
2024-01-01 00:26:00,False,0.0,1.1
2024-01-01 00:27:00,False,0.0,1.11
2024-01-01 00:28:00,False,0.0,1.12
2024-01-01 00:29:00,False,0.0,1.1300000000000001
2024-01-01 00:30:00,False,0.0,1.1400000000000001
2024-01-01 00:31:00,False,0.0,1.1500000000000001
2024-01-01 00:32:00,False,0.0,1.1600000000000001
2024-01-01 00:33:00,False,0.0,1.1700000000000002
2024-01-01 00:34:00,False,0.0,1.1800000000000002
2024-01-01 00:35:00,False,0.0,1.1900000000000002
2024-01-01 00:36:00,False,0.0,1.2000000000000002
2024-01-01 00:37:00,False,0.0,1.2100000000000002
2024-01-01 00:38:00,False,0.0,1.2200000000000002
2024-01-01 00:39:00,True,0.7447981294382502,1.2300000000000002
2024-01-01 00:40:00,False,0.0,1.01
2024-01-01 00:41:00,False,0.0,1.02
2024-01-01 00:42:00,False,0.0,1.03
2024-01-01 00:43:00,False,0.0,1.04
2024-01-01 00:44:00,True,6.6883646467409665,1.05
2024-01-01 00:45:00,False,0.0,1.06
2024-01-01 00:46:00,True,0.7349460993963911,1.07
2024-01-01 00:47:00,False,0.0,1.01
2024-01-01 00:48:00,False,0.0,1.02
2024-01-01 00:49:00,False,0.0,1.03
2024-01-01 00:50:00,False,0.0,1.04
2024-01-01 00:51:00,True,6.368595537740897,1.05
2024-01-01 00:52:00,False,0.0,1.06
2024-01-01 00:53:00,False,0.0,1.07
2024-01-01 00:54:00,False,0.0,1.08
2024-01-01 00:55:00,False,0.0,1.09
2024-01-01 00:56:00,False,0.0,1.1
2024-01-01 00:57:00,False,0.0,1.11
2024-01-01 00:58:00,False,0.0,1.12
2024-01-01 00:59:00,False,0.0,1.1300000000000001
2024-01-01 01:00:00,False,0.0,1.1400000000000001
2024-01-01 01:01:00,False,0.0,1.1500000000000001
2024-01-01 01:02:00,False,0.0,1.1600000000000001
2024-01-01 01:03:00,False,0.0,1.1700000000000002
2024-01-01 01:04:00,False,0.0,1.1800000000000002
2024-01-01 01:05:00,False,0.0,1.1900000000000002
2024-01-01 01:06:00,False,0.0,1.2000000000000002
